English,Hindi
alric bio medics,एलरिक बायो मेडिक्स 
"also talk to your doctor urgently if you have a sudden, sharp pain in your stomach that gets steadily worse",यदि आपके पेट में अचानक तेज दर्द हो जो लगातार बढ़ता ही जा रहा हो तो अपने डॉक्टर से  तुरंत बात करें
"also, avoid smoking or smoky places","इसके अलावा, धूम्रपान ना करें या धूम्रपान वाली जगहों से दूर रहें "
"also, cut down the amount of coffee, tea or cola you drink","इसके अलावा, कॉफी, चाय या कोला की मात्रा में कटौती करें "
"also, do not give more than the prescribed dose for fast relief as it may cause unwanted effects and worsen your child’s condition","इसके अलावा,जल्दी राहत पाने के लिए निर्धारित खुराक से अधिक न दें क्योंकि यह अनचाहा प्रभाव डाल सकता है और आपके बच्चे की स्थिति को खराब कर सकता है"
"also, if you are taking any medications for any mental condition, consult your doctor about the safety and efficacy of the medicine","इसके अलावा, यदि आप किसी मानसिक समस्या के लिए कोई दवा ले रहे हैं, तो अपने डॉक्टर से दवा की सुरक्षा और प्रभाव के बारे में सलाह लें"
"also, if you smoke, seek advice about quitting","इसके अलावा, यदि आप धूम्रपान करते हैं, तो इसे छोड़ने के बारे में सलाह लें"
"also, inform the doctor if your child has a history of liver problems, kidney malfunction, blockage in the gastrointestinal tract, heart problems, or allergies to any medicine, its ingredients, or a food product","यदि आपके बच्चे को लिवर की समस्या, किडनी की खराबी, गैस्ट्रोइंटेस्टाइनल ट्रैक्ट में ब्लॉकेज, हृदय से जुड़ी समस्या या किसी दवा या उसके इंग्रेडिएंट या किसी फूड प्रोडक्ट से एलर्जी है, तो डॉक्टर को बताएं।"
"also, inform the doctor if your child has or had any heart, liver, or kidney problems","यदि आपके बच्चे को दिल, लिवर या किडनी की कोई समस्या है या थी, तो यह भी अपने डॉक्टर को बताएं"
"also, inform the doctor of any previous history of allergy, intolerance to any food products, abdominal obstruction, liver impairment, kidney malfunction, or any birth defects","अगर आपको पहले कभी एलर्जी, किसी भी खाद्य उत्पादों के प्रति इनटॉलरेंट, पेट में गड़बड़ी, लिवर में खराबी, किडनी में खराबी, या जन्म दोष आदि समस्या हुई है तो इसके बारे में डॉक्टर को बताएं"
"also, inform the doctor of any previous history of allergy, intolerance to any food products, abdominal obstruction, liver impairment, kidney malfunction, or any birth defects, this information is very important for dose alterations and for planning your child’s overall treatment","अगर आपको पहले कभी एलर्जी, किसी भी खाद्य उत्पादों के प्रति इनटॉलरेंट, पेट में गड़बड़ी, लिवर में खराबी, किडनी में खराबी  या जन्म दोष आदि समस्याएं हुई हैं तो इसके बारे में डॉक्टर को बताएं, यह जानकारी खुराक में बदलाव और बच्चे के पूरे इलाज की योजना के लिए बहुत महत्वपूर्ण है"
"also, inform your doctor if you are pregnant or breastfeeding",अगर आप गर्भवती हैं या स्तनपान करा रही हैं तो डॉक्टर को बताएं 
"also, it is one of the commonly used medicines in chickenpox for symptomatic relief","इसके अलावा, यह यह चिकेनपॉक्स (चेचक) के लक्षणों से आराम दिलाने में इस्तेमाल की जाने वाली दवाओं में से एक है"
"also, let your doctor know if you are breastfeeding and about all the other medications that you are taking regularly","इसके अलावा,यदि आप स्तनपान करा रही हैं और नियमित दवाएं ले रही हैं तो अपने डॉक्टर को बताएं"
"also, narrate your child’s complete medical history, including heart, blood, skin, bone, and hormonal disorders or any prior episodes of allergy, eye disease, birth defects, lung anomaly, liver impairment, and kidney malfunction","हृदय, रक्त, त्वचा, हड्डी, और हार्मोनल डिसऑर्डर या पहले से मौजूद एलर्जी के एपिसोड, नेत्र रोग, जन्म दोष, फेफड़े में खराबी, लिवर कमजोर होना और किडनी की खराबी सहित अपने बच्चे के संपूर्ण चिकित्सा इतिहास को भी बताएं।"
"also, prevent your child from lying down for at least <n1> hour after taking this medicine to prevent irritation in the throat","इसके अलावा, अपने बच्चे को गले में जलन को रोकने के लिए इस दवा को लेने के बाद कम से कम <n1> घंटे तक लेटने से रोकें"
"also, stop smoking because it reduces the amount of oxygen that gets to your brain","इसके अलावा, धूम्रपान न करें क्योंकि यह आपके मस्तिष्क को मिलने वाली ऑक्सीजन की मात्रा को कम करता है"
altcare pharmaceuticals private limited,ऑल्टकेयर फार्मास्यूटिकल्स प्राइवेट लिमिटेड
"although salt is not good for everyone (and bad for some people), if you have low blood pressure increasing your intake of salt (sodium) can raise your blood pressure","हालांकि नमक हर किसी के लिए अच्छा नहीं होता है (कुछ लोगों के लिए खराब होता है), अगर आपका ब्लड प्रेशर कम  तो नमक (सोडियम) का सेवन आपके ब्लडप्रेशर को बढ़ा सकता है"
"although this infection can occur in people of any age group, it is more common in children and teens","हालांकि यह इंफेक्शन किसी भी आयु वर्ग के लोगों में हो सकता है, यह बच्चों और किशोरों में अधिक आम है"
altius life sciences,अल्टियस लाइफ साइंसेज
altocare lifesciences pvt ltd,ऑल्टोकेयर लाइफसाइंसेज प्राइवेट लिमिटेड
"altogether, it helps in easy movement and you can carry your daily activities without much problem","कुल मिलाकर, यह आसानी से चलने फिरने में मदद करता है और आप अपने रोजमर्रा के कार्यों को बिना किसी समस्या के कर सकते हैं"
"altogether, it helps in easy movement and you can carry your normal daily activities without much problem","कुल मिलाकर, यह आसानी से चलने फिरने में मदद करता है और आप अपने रोजमर्रा के सामान्य कार्यों को बिना किसी समस्या के कर सकते हैं"
"altogether, it helps in lowering your blood pressure","कुल मिलाकर, यह आपके ब्लड प्रेशर को कम करने में मदद करता है"
"altogether, this medicine will help ease discomforts and improve your mood","कुल मिलाकर, यह दवा असुविधाओं को कम करने और आपके मूड में सुधार करने में मदद करेगी"
alvikof plus tablet,एल्विकोफ प्लस टैबलेट
alvio pharma,एल्वियो फार्मा
alvizia healthcare pvt. ltd,एल्विज़िया हेल्थकेयर प्राइवेट लिमिटेड
always ensure to give it as per the dose and way prescribed by the doctor,हमेशा डॉक्टर द्वारा निर्धारित खुराक और तरीके के अनुसार इसे देना चाहिए
"always give a balanced diet, containing herbs, fruits, and spices of therapeutic value","हमेशा संतुलित आहार लें, जिसमें जड़ी बूटी, फल और औषधीय मसालें शामिल हों "
always give the dose as prescribed by the doctor since that depends on the severity and type of infection and your child’s body weight and age,"हमेशा डॉक्टर द्वारा बताई गई खुराक दें क्योंकि यह गंभीरता, संक्रमण के प्रकार और आपके बच्चे के शरीर के वजन और उम्र पर निर्भर करता है"
"always give the dose as prescribed by the doctor since that depends on the severity and type of infection, body weight, and age of your child","हमेशा डॉक्टर द्वारा बताई गई खुराक दें क्योंकि यह गंभीरता, संक्रमण के प्रकार और आपके बच्चे के शरीर के वजन और उम्र पर निर्भर करता है"
"always give the dose as prescribed by the doctor since they depend on the severity and type of infection, body weight, and age of your child","हमेशा डॉक्टर द्वारा बताई गई खुराक दें क्योंकि यह गंभीरता, संक्रमण के प्रकार और आपके बच्चे के शरीर के वजन और उम्र पर निर्भर करता है"
always remember that antibiotics should not be given in viral infections as they do not impact viruses,हमेशा याद रखें कि वायरल इंफेक्शन में एंटीबायोटिक नहीं देना चाहिए क्योंकि वे वायरस पर प्रभाव नहीं डालते हैं
always remember to inform your doctor if you have any history of heart or kidney problems,"यदि आपको दिल या किडनी की कोई समस्या है, तो अपने डॉक्टर को बताएं"
always store your injections in the refrigerator (<n1>°c to <n2>°c),अपने इंजेक्शन को हमेशा रेफ्रीजरेटर ((<n1>°c से n2>°c) में स्टोर करें 
always take the medicine as prescribed to get maximum benefit,अधिकतम लाभ प्राप्त करने के लिए डॉक्टर द्वारा बताई गई दवाओं का सेवन करें 
always use sunscreen and protective clothing when outdoors,घर से बाहर जाते समय हमेशा सनस्क्रीन और सुरक्षात्मक कपड़ों का उपयोग करें
always wear a hat and clothes which cover your arms and legs,हमेशा एक टोपी और ऐसे कपड़े पहनें जिससे आपका हाथ और पैर ढंका रहे 
"always wipe from front to back after using the toilet each time, wear cotton underpants, bathe daily and avoid the use of any sprays or deodorized products in the vaginal area","हर बार टॉयलेट का उपयोग करने के बाद हमेशा आगे से पीछे की ओर पोंछें, सूती अंडरवियर पहनें, रोज नहाएं और जननांगों के आसपास किसी भी स्प्रे या डियोड्रेंट का इस्तेमाल करने से बचें"
alzer pharma,अल्जर फार्मा
amabala cantt,अंबाला कैंट
amagen india life sciences,एमागेन इंडिया लाइफ साइंसेज
amanta healthcare ltd,एमांटा हेल्थकेयर लिमिटेड
amarin m<n1> tablet er,एमारिन एम <n1> टैबलेट ईआर 
amarin pm<n1> tablet er,एमारिन पीएम <n1> टैबलेट ईआर 
amazeal life science pvt ltd,एमाजील लाइफ साइंस प्राइवेट लिमिटेड
amba bari,अंबाबाड़ी
amba tower,अंबा टॉवर
ambac <an1> injection,एम्बैक <an1> इंजेक्शन
ambad nasik,अंबाद नासिक
ambala chandigarh highway,अंबाला चंडीगढ़ हाईवे
ambalakat road,अम्बालाकट रोड
ambattur industrial estate,अंबत्तूर इंडस्ट्रियल स्टेट 
ambedkar nagar(,अंबेडकर नगर
amber appt,अंबर अपार्टमेंट 
ambernath east,अंबरनाथ ईस्ट 
ambic ayurved india pvt ltd,अंबिक आयुर्वेद इंडिया प्राइवेट लिमिटेड
ambit bio medix,एम्बिट बायो मेडिक्स
amedure pharmaceuticals,एमेड्योर फार्मास्यूटिकल्स
american remedies ltd,अमेरिकन रेमेडीज लिमिटेड
ameto g forte <an1> tablet,ऐमेटो जी फोर्ट <an1> टैबलेट 
amey clinic,एमी क्लिनिक
aminijikari,एमिनीजिकरी
aminjikarai,एमिनीजिकरी
amit shur(managing director),अमित शूर (मैनेजिंग डायरेक्टर) 
amodiff <an1> capsule,एमोडिफ <an1> कैप्सूल
amoline lb <n1>mg capsule,एमोलाइन एलबी <n1> एमजी कैप्सूल
amortin-dx capsule,एमोर्टिन-डीएक्स कैप्सूल
amoxicillin is an antibiotic that kills bacteria by preventing the formation of the protective covering of bacteria,एमोक्सिसिलिन एक एंटीबायोटिक है जो बैक्टीरिया के प्रोटेक्टिव कवर को बनने से रोककर बैक्टीरिया को मारता है
amoxicillin is an antibiotic which works by preventing the formation of the bacterial protective covering which is essential for the survival of bacteria in the human body,एमोक्सिसिलिन एक एंटीबायोटिक है जो बैक्टीरिया के प्रोटेक्टिव कवर को बनने से रोकती है जो मानव शरीर में बैक्टीरिया के जिंदा के लिए आवश्यक होते हैं
amoxiv-cv oral suspension,एमोक्सिव-सीवी ओरल सस्पेंशन 
amoxybill-cv forte dry syrup mango,एमोक्सीबिल-सीवी फोर्ट ड्राई सिरप मैंगो 
amoxyril cv forte dry syrup,एमॉक्सीरिल सीवी फोर्ट ड्राई सिरप
amrit remedies pvt ltd,अमृत रेमेडीज प्राइवेट लिमिटेड
amritsar punjab,अमृतसर पंजाब
amrona medical pvt ltd,अमरोना मेडिकल प्राइवेट लिमिटेड
amroxil lb <n1>mg capsule,एमरोक्सिल एलबी <n1> एमजी कैप्सूल
amsort-mt tablet er,एम्सोर्ट-एमटी टैबलेट ईआर 
amtalap o - kanayanagar,एमटालैप ओ - कांयानगर
amudham nagar main rd,अमुधाम नगर मेन रोड 
amugen healthcare pvt ltd,अमुगेन हेल्थकेयर प्राइवेट लिमिटेड
amuscar <n1>mg tablet,एमुस्कैर <n1> एमजी टैबलेट
amwell pharmaceuticals pvt ltd,एमवेल फार्मास्यूटिकल्स प्राइवेट लिमिटेड
amyra healthcare pvt ltd,अमायरा हेल्थकेयर प्राइवेट लिमिटेड
amyvox <an1> capsule,एमिवॉक्स <an1> कैप्सूल
amzor healthcare,ऐमज़ोर हेल्थकेयर
an improvement may be seen within <n1> to <n2> days of regular dosing,नियमित रूप से खुराक लेने पर <n1> से <n2> दिनों के भीतर सुधार देखा जा सकता है
anaiyur,एनईयूर 
anamiva life sciences,अनामिवा लाइफ साइंसेज 
anand arcade,आनंद आर्केड
anand mangal,आनंद मंगल
anand parbhat,आनंद प्रभात 
anand sagar old nagardas road,आनंद सागर ओल्ड नगरदास रोड
anand shopping center,आनंद शॉपिंग सेंटर
ananthapur dist,अनंतपुर जिला
anchal - chas,आंचल - चास
anclof s <an1> tablet,एनक्लोफ एस <an1> टैबलेट 
"and breastfeeding women should consult their doctor before using this medicine, as it may cause harmful effects to the developing baby","स्तनपान कराने वाली महिलाओं को इस दवा का इस्तेमाल करने से पहले अपने डॉक्टर से परामर्श करना चाहिए, क्योंकि इससे बढ़ते बच्चे पर हानिकारक प्रभाव पड़ सकता है"
andhara pradesh,आन्ध्र प्रदेश
andheri (w) mumbai,अंधेरी (वेस्ट) मुंबई
andheri east mumbai city mh,अंधेरी पूर्व मुंबई सिटी महाराष्ट्र 
andheri(e) mumbai mh,अंधेरी (पूर्व) मुंबई महाराष्ट्र 
andhra pradesh india,आंध्र प्रदेश भारत
andic lifesciences pvt ltd,एंडिक लाइफसाइंसेज प्राइवेट लिमिटेड
andrographis paniculata is the scientific name of this medicine,एंड्रोग्राफिस पैनिकुलेटा इस दवा का वैज्ञानिक नाम है
anifresh <n1> mouth wash,एनीफ्रेश <n1> माउथ वॉश
anisabad,अनीसाबाद
anisum lifesciences,एनिसम लाइफसाइंसेज
anitek lifecare,एनीटेक लाइफकेयर
anjana nilayam padmavati colony,अंजना निलयम पद्मावती कॉलोनी
anjani complex chakla,अंजनी परिसर चकला
anjur road,अंजुर रोड
ankhir,अंखीर
ankleshwar gidc,अंकलेश्वर जीआईडीसी
ankran biotech pvt ltd,अंकरन बायोटेक प्राइवेट लिमिटेड
anmol business centre,अनमोल बिजनेस सेंटर
annexe behind lasudia police station,"एनेक्सी, लसूड़िया थाने के पीछे "
ansa industrial estate,अंसा इंडस्ट्रियल एस्टेट 
ansal sampark-i,अंसल संपर्क-i
anthus pharamaceuticals pvt. ltd,एंथस फार्मास्यूटिकल्स प्राइवेट लिमिटेड
anthus pharmaceuticals pvt ltd,एंथस फार्मास्यूटिकल्स प्राइवेट लिमिटेड
antibiotics are antibacterial medicines and do not work for symptoms caused due to viral infections,एंटीबायोटिक एंटीबैक्टीरियल दवाएं हैं और वायरल इंफेक्शन के कारण होने वाले लक्षणों के लिए काम नहीं करती हैं
antibiotics are given in cough and flu symptoms only when the doctor detects any underlying secondary bacterial infection,"एंटीबायोटिक खांसी और फ्लू के लक्षणों में ही दी जाती हैं, जब डॉक्टर कोई मौजूदा सेकेंडरी बैक्टीरियल इंफेक्शन पाते हैं"
anticanol <n1> tablet,एंटीकैनोल <n1> टैबलेट
antila lifesciences pvt ltd,एंटीला लाइफसाइंसेज प्राइवेट लिमिटेड
antioxidants prevent damage to the body due to harmful chemicals in our body known as free radicals,एंटीऑक्सिडेंट हमारे शरीर में फ्री रेडिकल नामक हानिकारक केमिकल के कारण शरीर को नुकसान से बचाते हैं
antop hill mumbai mumbai city mh,एनटॉप हिल मुंबई महाराष्ट्र  
antrix chs,एनट्रिक्स सीएचएस 
anuf sf kit,एनफ एसएफ किट
anuflo syrup,अनुफ्लो सिरप
anvi pharmaceuticals,एन्वी फार्मास्यूटिकल्स
anxi f <n1> tablet,एंक्सी एफ <n1> टैबलेट
anxifree-p tablet cr,एनक्सीफ्री-पी टैबलेट सीआर 
"any history regarding bowel obstruction, malnutrition, weight-related issues, and thyroid problems should also be well indicated to the doctor to avoid any complications in the treatment","इलाज में किसी भी जटिलता से बचने के लिए अगर पहले कभी आंत में गड़बड़ी , कुपोषण, वजन संबंधी समस्याएं और थायराइड से जुड़ी समस्याओं हुई हैं तो इस बारे में डॉक्टर को बताना चाहिए।"
any previous episode of,अगर निम्न से कोई समस्या पहले हुई हो 
ap state housing board,एपी स्टेट हाउसिंग बोर्ड
"apart from this, drink plenty of water or suck on sugar-free candies to stimulate the flow of saliva","इसके अलावा, लार को बढ़ाने के लिए पर्याप्त मात्रा में पानी पिएं या शुगर फ्री कैंडी चूसें"
"apart from this, it gives relief from toothache or pain after dental procedure","इसके अलावा, यह दांतों के दर्द या दांतों की सर्जरी के बाद होने वाले दर्द से राहत देता है"
"apart from this, it is advisable to make some lifestyle changes to sleep better","इसके अलावा, बेहतर नींद के लिए जीवनशैली में बदलाव करने की सलाह दी जाती है"
"apart from this, it may also reduce your risk of cancer of the ovary and womb if used in the long term","इसके अलावा, लंबे समय तक इसका इस्तेमाल करने पर यह ओवरी और गर्भ के कैंसर के खतरे को भी कम कर सकता है"
"apart from using eye drops, it is advisable to wash your eyes with luke warm water to reduce pain and swelling","आई ड्रॉप का इस्तेमाल करने के अलावा, दर्द और सूजन को कम करने के लिए अपनी आंखों को गुनगुने गर्म पानी से धोने की सलाह दी जाती है"
"apart from using eye drops, it is advisable to wash your eyes with lukewarm water to reduce discomfort",आई ड्रॉप का इस्तेमाल करने के अलावा परेशानी को कम करने के लिए अपनी आंखों को गुनगुने पानी से धोएं
apco pharma ltd,एप्को फार्मा लिमिटेड
apejay chamber,एपीजे चैंबर
apichem healthcare,एपीकेम हेल्थकेयर
apids pharmaceuticals,एपिड्स फार्मास्यूटिकल्स
aplomb pharma pvt. ltd,एपलोम्ब फार्मा प्राइवेट लिमिटेड
apmc market,एपीएमसी मार्केट
apmc yard,एपीएमसी यार्ड
apollo hospitals enterprises ltd,अपोलो हॉस्पिटल्स एंटरप्राइजेज लिमिटेड
apollonia,अपोलोनिया
apotex lifesciences,एपोटेक्स लाइफसाइंसेज
application site irritation and burning sensation might be seen as side effects with this medicine,इस दवा को जिस जगह पर लगाया गया हो वहां जलन जैसे साइड इफेक्ट नजर आ सकते हैं
apply <an1> times a day or as prescribed by your doctor,डॉक्टर की सलाह अनुसार दिन में <an1> बार लगाएं 
"apply <an1> times a day to get relief from itching, swelling, and redness caused by infection","इंफेक्शन के कारण होने वाली खुजली, सूजन, और लालिमा से राहत पाने के लिए दिन में <an1> बार लगाएं"
apply <an1> times in a day or as prescribed,दिन में <an1> बार या डॉक्टर की सलाह अनुसार इसे लगाएं 
apply a cold compress to the injection site,इंजेक्शन वाली जगह पर कोल्ड कम्प्रेशर लगाएं 
apply a warm or cold compress to your closed eyelids several times daily,दिन में कई बार पलकें बंद करके गर्म या ठंडा कम्प्रेशर लगाएं 
apply exactly as directed by your doctor,डॉक्टर ने जैसे बताया है बिलकुल वैसे ही लगाएं 
"apply it as a thin layer onto clean, dry, unbroken skin affected by infection","इसे यह संक्रमण से प्रभावित साफ, सूखी त्वचा पर पतली परत के रूप में लगाएं "
apply it as prescribed by your doctor,डॉक्टर ने जैसे बताया है बिलकुल वैसे ही लगाएं 
apply it in the exact dose and duration as prescribed by your doctor,इसे डॉक्टर द्वारा बताए गए निर्धारित खुराक और समय के अनुसार लगाएं 
apply it on the scalp and leave it on for a few minutes before rinsing it off,इसे स्कैल्प पर लगाएं और धोने से पहले कुछ मिनट के लिए छोड़ दें
apply it regularly to get maximum benefits from the medicine,दवा से अधिकतम लाभ प्राप्त करने के लिए इसे नियमित रूप से लगाएं 
apply the cream gently using your fingers or gauze as many times as prescribed by your doctor,क्रीम को अपनी उंगलियों या गौज़ से धीरे-धीरे उतनी बार लगाएं जितनी बार डॉक्टर ने बताया हो
apply to the affected areas one or two times a day,प्रभावित हिस्से में दिन में एक या दो बार इसे लगाएं 
"applying it will help you to go about your daily activities more easily and have a better, more active, quality of life",इसे लगाने से आपको अपने रोजमर्रा के काम करने में अधिक आसानी होती है। आप अधिक एक्टिव रहते हैं और क्वालिटी लाइफ जीते हैं।
appollo building,अपोलो बिल्डिंग
aprikose pharmaceuticals pvt ltd,एप्रिकोस फार्मास्यूटिकल्स प्राइवेट लिमिटेड
aptamil <n1> first infant milk powder,एप्टामिल <n1> फर्स्ट इन्फेंट मिल्क पाउडर 
aptamil <n1> growing up milk with pronutra plus,एप्टामिल <n1> ग्रोइंग अप मिल्क विद प्रोन्यूट्रा प्लस 
aptamil <n1> profutura follow on milk powder,एप्टामिल <n1>  प्रोन्यूट्रा फॉलो ऑन मिल्क पाउडर 
aptamil multigrain breakfast with pronutravi plus,एप्टामिल मल्टीग्रेन ब्रेकफास्ट  विद प्रोन्यूट्रावी प्लस 
"aptamil oats, apple & plum muesli","अप्टामिल ओट्स, सेब और बेर मूसली"
aptocef plus tablet,एप्टोसेफ प्लस टैबलेट
aptus pharma platno,एप्टस फार्मा प्लैटनो 
aptus pharma pvt ltd,एप्टस फार्मा प्राइवेट लिमिटेड
apurva tower,अपूर्वा टावर
aquadry pharma pvt ltd,एक्वाड्राई फार्मा प्राइवेट लिमिटेड
aquagel innovations keep cool face mask blue,एक्वाजेल इनोवेशन कीप कूल फेस मास्क ब्लू 
aquagel innovations soft pvc orthopedic electric belt small white,एक्वाजेल इनोवेशन सॉफ्ट पीवीसी आर्थोपेडिक इलेक्ट्रिक बेल्ट स्माल वाइट 
ara bhojpur br,आरा भोजपुर बीआर
aradhana bhawan,आराधना भवन
aravali pharmacals,अरावली फार्माकल्स 
aravalli business center,अरावली बिज़नस सेंटर 
arazi no,अराजी नं
arbro pharmaceuticals pvt ltd,आर्ब्रो फार्मास्यूटिकल्स प्राइवेट लिमिटेड
arcade mahanir nagar,आर्केड महानिर नगर
arcot road,आर्कोट रोड
ardez pharma,आर्डेज़ फार्मा
are you currently taking d.f.o,क्या आप अभी डी.एफ.ओ. ले रहे हैं?
are you currently taking dr. dec <n1> mg/<n2> mg tablet?,क्या आप अभी डॉ. डेक <n1> एमजी/<n2> एमजी टैबलेट ले रहे हैं?
are you currently taking fort,क्या आप अभी फोर्ट ले रहे हैं 
are you currently taking m.v.i,क्या आप अभी एम.वी.आई. ले रहे हैं?
are you currently taking rg,क्या आप अभी आरजी ले रहे हैं
are you currently taking saloxen syr,क्या आप अभी सैलोक्सेन एसवाईआर ले रहे हैं?
arera colony,अरेरा कॉलोनी
argos healthcare (p) ltd,आर्गोस हेल्थकेयर (पी) लिमिटेड
arihant pharma,अरिहंत फार्मा
aripa-os <n1>mg suspension,अरिपा-ओएस <n1> एमजी सस्पेंशन 
arizine d <an1> tablet,एरिजाइन डी <an1> टैबलेट
ark arcade,आर्क आर्केड
ark life sciences pvt ltd,आर्क लाइफ साइंसेज प्राइवेट लिमिटेड
arkas pharma pvt ltd,अर्कास फार्मा प्राइवेट लिमिटेड
arkle healthcare pvt ltd,आर्कल हेल्थकेयर प्राइवेट लिमिटेड
arkpod <n1>mg oral suspension,आर्कपॉड <n1> एमजी ओरल सस्पेंशन 
arn society,अर्न सोसाइटी 
arpan complex delux cross road nizampura,अर्पण काम्प्लेक्स डीलक्स क्रॉस रोड निजामपुरा 
arpilix <n1>mg tablet,अर्पिलिक्स <n1> एमजी टैबलेट
arrient healthcare pvt ltd,एरिटेंट हेल्थकेयर प्राइवेट लिमिटेड
arrowin pharmaceuticals,एरोविन फार्मास्यूटिकल्स
art <n1>mg injection,आर्ट  <n1> एमजी इंजेक्शन
arteevin injection,आर्टिविन इंजेक्शन
articon labs pvt ltd,आर्टिकॉन लैब्स प्राइवेट लिमिटेड
artrine <n1>mg injection,आर्ट्रीन <n1>एमजी इंजेक्शन
artur p syrup,आर्टर पी सिरप
artura pharmaceuticals pvt ltd,आर्टूरा फार्मास्यूटिकल्स प्राइवेट लिमिटेड
artus pharma pvt ltd,आर्टस फार्मा प्राइवेट लिमिटेड
arunodaya nagar cuttack cuttack or,अरुणोदय नगर कटक ओडिशा 
arvind ghosh marg,अरविंद घोष मार्ग
arvinda ghosh marg,अरविन्दा घोष मार्ग
arya samaj,आर्य-समाज
"as a consequence, the infection-causing bacteria stop growing further and the spread of the infection is successfully arrested","परिणामस्वरूप, इंफेक्शन फैलाने वाले बैक्टीरिया वृद्धि नहीं कर पाते हैं और इंफेक्शन आसानी से रुक जाता है"
"as a general rule, speak to your doctor if you lose weight while using this medicine",दवा का इस्तेमाल करते समय यदि आपका वजन कम हो रहा है तो सामान्य नियम के अनुसार अपने डॉक्टर से बात करें
"as a precautionary measure dairy products such as milk, cheese, curd, butter and paneer should be avoided with medicine","एहतियात के तौर पर इस दवा के साथ डेयरी उत्पादों जैसे दूध, चीज, दही, मक्खन और पनीर से परहेज करना चाहिए"
"as a preventive measure, you should limit the amount of alcohol you drink and give up smoking",उपाय के तौर पर आपको शराब पीने की मात्रा को सीमित करना चाहिए और धूम्रपान से बचना चाहिए
"as a result of this, your child’s infection is treated","इसके परिणामस्वरूप, आपके बच्चे के संक्रमण का इलाज होता है "
"as a result, it is easier for air to get in and out of the lungs of the baby","परिणामस्वरूप, बच्चे के फेफड़े के अंदर हवा जाना और बाहर निकलना आसान होता है"
"as a result, some people may notice that it takes longer to learn new things, they don't remember things well, or they keep things, like their glasses, and forget where they had kept them","नतीजतन, कुछ लोग यह देख सकते हैं कि नई चीजों को सीखने में अधिक समय लगता है, वे चीजों को अच्छी तरह से याद नहीं रखते हैं, या वे यह भूल जाते हैं कि उन्होंने अपना चश्मा कहां रखा था"
"as a result, the bacteria become resistant to the antibiotic being used for treatment","नतीजतन, बैक्टीरिया इलाज में इस्तेमाल किए जा रहे एंटीबायोटिक के प्रति रेसिस्टेंट हो जाता है "
"as a result, the chance of having a serious episode of hypoglycemia or low blood sugar would increase","परिणामस्वरूप, हाइपोग्लाइसीमिया या ब्लड शुगर घटने के गंभीर एपिसोड होने की संभावना बढ़ जाती है"
"as a result, the infection starts clearing within <n1> to <n2> days of regular dosing",परिणामस्वरूप नियमित रूप से खुराक लेने के <n1> से <n2> दिनों के भीतर संक्रमण खत्म होना शुरू हो जाता है 
"as a result, the infection-causing bacteria gets killed, stopping the infection and the bacteria from growing further without making them resistant to further treatment","नतीजतन, इंफेक्शन पैदा करने वाले बैक्टीरिया मर जाते हैं, साथ ही इंफेक्शन और बैक्टीरिया को आगे के इलाज के लिए रेसिस्टेंस बनाए बिना बढ़ने से रोकते हैं"
"as a result, the symptoms are relieved, and eventually, the condition is cured","नतीजतन, लक्षणों से राहत मिलती है, और अंततः, स्थिति ठीक हो जाती है"
"as a result, they decrease in size and also stop growing further",इसके परिणामस्वरुप वे आकार में घटने लगेंगे और उनका आगे बढ़ना भी बंद हो जाएगा 
"as a result, your blood pressure is lowered and this helps in reducing your risk of having a stroke, a heart attack, other heart problems, or kidney problems in the future","नतीजतन, आपका ब्लडप्रेशर कम हो जाता है और यह स्ट्रोक, दिल का दौरा, दिल से जुड़ी अन्य समस्याओं, या भविष्य में किडनी की समस्याओं के जोखिम को कम करने में मदद करता है।"
"as a result, your child’s infection is treated","परिणामस्वरुप, आपके बच्चे के संक्रमण का इलाज किया जाता है"
"as an antiparasite, it works by paralyzing the worms present in the intestines","एक एंटीपैरासाइट के रूप में, यह आंतों में मौजूद कीड़े को लकवाग्रस्त करके काम करता है"
"as an immunoregulator, it promotes activation of white blood cells (wbcs) and helps in restoring the normal function of the immune system","इम्यूनोरेगुलेटर के रूप में, यह सफेद रक्त कोशिकाओं (wbcs) की सक्रियता को बढ़ाता है और इम्यून सिस्टम के सामान्य कार्य को दोबारा से शुरू करने में मदद करता है"
"as this medicine can also make you feel dizzy, it is advised to avoid driving","चूंकि यह दवा खाने से आपको चक्कर भी महसूस हो सकता है, इसलिए गाड़ी न चलाएं"
asgen pharmaceuticals pvt ltd,एस्जेन फार्मास्यूटिकल्स प्राइवेट लिमिटेड
ashadeep green avenue,आशादीप ग्रीन एवेन्यू
ashdee health care (opc) pvt ltd,ऐशडी हेल्थ केयर (ओपीसी) प्राइवेट लिमिटेड 
ashiyana colony,अहिल्या कॉलोनी
ashiyana tower,अहिल्या टॉवर
ashok nagar new delhi,अशोक नगर नई दिल्ली
ashok vihar phase-ii palam vihar road gurgaon gurgaon hr,अशोक विहार फेज-2 पालम विहार रोड गुड़गांव हरियाणा 
ashoka plaza,अशोका प्लाजा
ashram new delhi south,"आश्रम नई दिल्ली, दक्षिण दिल्ली "
ashram new delhi south delhi,"आश्रम नई दिल्ली, दक्षिण दिल्ली"
ashtavinayak park infront,अष्टविनायक पार्क के सामने
asiatic pharmaceuticals,एशियाटिक फार्मास्यूटिकल्स
